,song_name_api_opus,song_name_opus,artist_name_opus,catalog_name_opus,owned_catalog_opus,input_parameter,country_code,song_id_luminate_opus,isrc_opus,album_name_opus,release_date_opus,metric_luminate,start_week_id,end_week_id
124,I Wouldn't Do That,I Wouldn't Do That,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021890,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
125,Black Sheep,Black Sheep,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021892,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
126,I Must Be On Something,I Must Be On Something,Hopsin,Hopsin,No,isrc,G1,,Not Found,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
127,Tell'em Who You Got It From,Tell'em Who You Got It From,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021898,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
128,The Purge,The Purge,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021901,No Shame,2017-09-22 00:00:00,StreamingOnDemand,201840,202335
129,Happy Ending,Happy Ending,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021902,No Shame,2017-10-12 00:00:00,StreamingOnDemand,201840,202335
130,No Words 2 (Skit),No Words 2 (Skit),Hopsin,Hopsin,No,isrc,G1,,TCAEP2021903,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
131,Panorama City,Panorama City,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021907,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
132,Ill Mind of Hopsin 9,Ill Mind of Hopsin 9,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021910,No Shame,2017-11-23 00:00:00,StreamingOnDemand,201840,202335
133,Marcus' Gospel,Marcus' Gospel,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021912,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
134,Witch Doctor,Witch Doctor,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021913,No Shame,2017-11-01 00:00:00,StreamingOnDemand,201840,202335
135,Hot 16'S,Hot 16'S,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072394,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
136,Sag My Pants,Sag My Pants,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072395,Raw,2010-10-08 00:00:00,StreamingOnDemand,201840,202335
137,You Are My Enemy,You Are My Enemy,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072396,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
138,Trampoline,Trampoline,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072397,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
139,I'm Not Introducing You,I'm Not Introducing You,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072398,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
140,I Can't Decide,I Can't Decide,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072399,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
141,I Am Raw,I Am Raw (feat. SwizZz),"Hopsin, SwizZz",Hopsin,No,isrc,G1,,TCAAS1072400,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
142,Nocturnal Rainbows,Nocturnal Rainbows,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072402,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
143,How You Like Me Now,How You Like Me Now (feat. SwizZz),"Hopsin, SwizZz",Hopsin,No,isrc,G1,,TCAAS1072403,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
144,Heather Nicole,Heather Nicole,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072404,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
145,Kill Her,Kill Her,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072405,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
146,I'm Not Crazy,I'm Not Crazy (feat. Cryptic Wisdom & SwizZz),"Hopsin, Cryptic Wisdom, SwizZz",Hopsin,No,isrc,G1,,TCAAS1072406,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
147,Where Will I Go,Where Will I Go,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072407,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
148,Baby's Daddy,Baby's Daddy,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072408,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
149,Blood Energy Potion,Blood Energy Potion,Hopsin,Hopsin,No,isrc,G1,,TCAAS1072409,Raw,2010-11-19 00:00:00,StreamingOnDemand,201840,202335
